Plate_ID,Mean_Blank_OD,R2,Max_QC_CV_Pct,Min_QC_Recovery_Pct,Max_QC_Recovery_Pct,Median_Standard_Edge_vs_Interior_OD_Diff_Pct,Known_Well_Residual_Slope_OD_per_Read,Plate_Status,Primary_QC_Findings,Review_Findings,Explanatory_Diagnostics
PLT-001,0.043164999999999995,0.9999309935560349,1.9981755527698275,99.67073274312658,101.57055047865953,-0.012468553572142493,-3.681767405268444e-05,Pass,None,None,None
PLT-002,0.05117,0.9998723614930409,6.401164844507988,99.52292211051721,100.09215706405905,0.6334622616299579,9.183581851083509e-06,Pass,None,None,None
PLT-003,0.042305,0.9996870668571525,10.16558030297387,98.38447800870725,104.84405268179064,0.2017144133318105,-2.415238022802914e-05,Pass,None,None,None
PLT-004,0.048965,0.9997216578854737,5.407122269847982,95.84534498322593,100.46894837773348,-1.039496835043996,-1.716395286029246e-05,Pass,None,None,None
PLT-005,0.05204,0.9997237807698102,5.145927312393108,97.58566045321174,101.5540969416665,1.0667454535061127,3.367491176806081e-05,Pass,None,None,None
PLT-006,0.0543,0.9996909542349441,7.506525405314606,95.27351099333164,100.94404762195552,1.8051606711373291,-2.9974931347813017e-05,Pass,None,None,None
PLT-007,0.17613499999999999,0.9998051510300521,5.093947513036843,97.97292909328735,101.2655146104787,-0.7894426333128202,-1.3780546136753092e-05,Fail,High blank,None,None
PLT-008,0.049729999999999996,0.9998420906066591,5.083895369479709,99.44096723906716,102.75806993098433,-0.1467096546407698,2.11161188337422e-05,Pass,None,None,None
PLT-009,0.04791,0.9997572551260263,3.543093558505681,97.95621094787094,100.42685390698887,-0.3111784551260155,4.673436663205334e-05,Pass,None,None,None
PLT-010,0.045845,0.9998306102079787,5.052777886248851,95.53613474840472,100.14247490091907,-0.3685527283783685,-1.768867734760682e-05,Pass,None,None,None
PLT-011,0.043515,0.9994620851567275,4.640368295132183,99.28930181769533,107.39082658167203,1.9564240844993863,3.016179006589902e-05,Pass,None,None,None
PLT-012,0.048985,0.9998293190990509,51.95927092693064,101.61407996257515,155.6324075409984,-0.6002503747825294,-0.00021874220531257249,Fail,QC CV; QC recovery,None,None
PLT-013,0.04969,0.9996074123216554,2.4418514653816334,98.07615878627917,102.96550127182617,1.5672798093476326,-2.055607558891385e-05,Pass,None,None,None
PLT-014,0.04755,0.9997040550614955,4.98687792684755,97.56419413317445,100.26029713706086,1.121466754298639,-4.912145845604204e-07,Pass,None,None,None
PLT-015,0.04571,0.9996698317972514,4.561937881146848,97.0638521504268,99.30637552502019,0.48074363605964954,-0.00010504421502147542,Pass,None,None,None
PLT-016,0.06469,0.9792776021619971,4.190915034799002,58.9408269196671,83.91698941640875,23.721849701457074,-0.00021528388344068086,Fail,Curve fit; QC recovery,None,Position/edge bias; Large standard duplicate discrepancy
PLT-017,0.047435000000000005,0.9996562076589182,3.8296682627647467,100.03464378029965,106.5619814776779,0.14925560863164322,3.175907306615303e-05,Pass,None,None,None
PLT-018,0.038315,0.9998096380180131,2.3404303901004866,98.94696052940556,100.08120086438443,-0.8778717734036046,2.036173988306619e-06,Pass,None,None,None
PLT-019,0.052465,0.9998255216200045,8.377205892733462,99.70051163792331,110.18344744920492,-0.006133759608273337,-5.872979360915123e-06,Pass,None,None,None
PLT-020,0.04743,0.9999016533588175,3.950605570028591,99.25895951930889,101.898468308326,-0.19838065691352158,2.6012613967398305e-06,Pass,None,None,None
PLT-021,0.05408,0.9997683795185948,1.7376712645758499,69.20404269010469,99.46366366511552,0.469523864003063,-6.916372323851808e-05,Fail,QC recovery,None,None
PLT-022,0.047835,0.9998584292920908,6.525246044002225,97.72611402225503,100.25096268232019,-0.9248807972640494,6.652772004533692e-06,Pass,None,None,None
PLT-023,0.048104999999999995,0.9995454500341429,4.162038234580273,87.14872336005925,112.13038156171358,-0.28384366788156146,0.00042087266582507165,Review,None,Read-order drift,None
PLT-024,0.05075,0.9998926227959676,8.886192468869439,100.28209134065817,102.93547984566341,0.17127565977734238,-4.385234254061517e-05,Pass,None,None,None
PLT-025,0.047195,0.9825926517687089,2.716875390670936,99.68486113745826,113.65934780910194,-0.24705510224452,2.175371681883055e-05,Fail,Curve fit,None,Large standard duplicate discrepancy
